AR_Ref,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06
PH0011,592.3449,458.1837,420.7821,487.9369,402.613,573.4599000000001,510.8046,393.4495,373.3196,608.4832,510.9039,508.9027,421.0672,484.6436,527.8453,334.76460000000003,436.6626,488.6512,346.3856,549.0341,348.7027,579.8723,462.46500000000003,472.7218,627.0,482.70169999999996,354.6164,405.7174,430.9645,195.4429
PH0012,302.4417,253.3825,336.5716,283.9483,320.7066,245.6675,289.5382,247.7436,259.4032,301.2719,294.00509999999997,229.3198,222.5741,214.4259,249.6756,284.1067,221.2153,274.2837,269.7187,241.2681,268.4104,321.623,261.0834,351.0768,259.3194,264.2348,274.4863,278.90049999999997,276.2105,86.5092
PH0013,553.2804,549.2049,467.65430000000003,477.4315,403.6068,493.70009999999996,350.3042,404.8178,397.54019999999997,450.8044,528.6042,446.5464,578.4276,315.1546,540.8766,406.046,525.6786,549.6838,483.63759999999996,409.71299999999997,485.287,421.0,360.0425,474.56579999999997,437.832,269.0316,585.4802,502.113,475.5776,187.7604
PH0014,275.621,274.7052,274.9885,272.2344,247.2691,252.1997,189.9821,226.0,228.4731,237.0849,289.12669999999997,262.1023,312.9952,199.2178,245.0,246.7782,252.2218,315.7549,222.24509999999998,221.5174,221.7784,300.5628,141.1414,223.5639,161.4953,218.5392,297.6503,246.00310000000002,227.0416,81.8437
PH0015,197.6018,208.145,191.2775,216.72469999999998,237.5865,549.242,527.0902,437.0151,173.4899,174.6996,210.8579,181.9195,208.1687,174.4956,203.0821,161.8082,211.6623,461.8995,372.2658,295.0142,187.7541,220.7446,179.1488,199.3041,206.282,168.4469,186.9596,181.887,186.6615,82.96719999999999
PH0016,593.0,446.0849,328.3687,527.1807,319.6151,565.7506,448.6613,348.9724,460.7299,563.6364,516.7427,446.5073,617.8989,514.8611,400.5606,537.0866,478.3428,409.034,422.6528,369.3132,556.0,346.1017,298.2771,539.2273,329.5122,496.1235,612.7699,454.4615,575.7048,233.53660000000002
PH0017,292.51370000000003,276.9424,261.82710000000003,263.0316,214.6852,278.2031,289.5181,273.8571,291.8944,252.1518,257.1255,305.49830000000003,274.5556,246.5882,265.3748,249.6094,272.6506,258.1398,223.3931,299.6758,324.7644,166.19819999999999,286.3138,271.9469,264.52139999999997,264.1256,274.1558,250.8279,247.7141,62.6751
PH0018,625.8216,566.2018,460.9766,233.3689,434.3227,371.3084,443.0,456.0,296.0,403.778,406.39979999999997,476.7201,456.60990000000004,417.49219999999997,429.4309,373.5018,334.3295,390.0475,286.548,472.3617,510.4153,399.7918,323.0322,416.7115,470.4396,487.1308,297.7458,503.3154,355.8213,158.9115
PH0019,292.3081,247.13850000000002,316.7133,334.0837,235.0984,254.9915,207.4554,281.4926,186.8194,266.5744,190.7858,263.7431,344.6428,191.153,298.8068,222.2828,279.605,223.6379,250.8929,313.8442,219.9304,200.9102,308.464,229.4243,287.1244,184.2828,227.7943,258.87,281.13,42.766000000000005
PH0020,103.7097,114.7277,110.7462,135.4818,119.9791,106.0402,133.4201,118.1327,125.5416,124.367,128.8236,123.8643,129.359,94.4191,143.632,123.3637,119.7714,110.00829999999999,124.0921,119.1049,105.2968,131.662,116.8315,134.9793,116.631,82.0615,109.1853,125.1169,105.9532,44.239399999999996
PH0021,481.7534,450.3559,601.5994,480.9959,302.2954,317.6915,333.3085,245.0281,425.2444,276.7634,493.0777,283.8864,302.0,203.81130000000002,258.9911,308.19759999999997,403.3058,296.6942,424.642,337.358,403.1038,341.8962,227.3591,271.6409,489.0,273.9019,304.425,406.6731,358.2896,153.561
PH0022,128.583,120.9728,101.8468,119.0299,92.0086,98.5816,125.9422,111.3498,92.7315,121.4814,119.4259,136.8392,137.5861,114.68900000000001,119.08109999999999,108.53739999999999,110.6232,127.0475,125.2054,106.2304,106.7506,106.4211,99.3926,110.8894,128.6559,96.3408,141.1275,127.9838,129.3939,38.2114
PH0023,283.312,239.6929,273.5101,260.4011,268.0801,285.8072,199.1966,236.9154,242.9089,229.0556,227.2275,181.2589,226.63150000000002,278.1148,119.0578,304.8627,140.1573,245.8096,167.42849999999999,265.8067,271.3548,281.3223,196.0877,215.9629,119.0942,286.406,159.662,179.8749,200.9396,82.3638
PH0024,154.2208,121.5005,132.5786,117.87010000000001,102.4852,123.8092,107.6035,128.2216,116.6566,114.9171,134.3669,121.45870000000001,100.52120000000001,129.9403,121.2929,105.7265,116.07339999999999,124.2699,122.6819,112.4493,128.4819,115.6515,112.4729,154.2091,121.409,92.4935,139.619,126.8706,116.6297,42.5338
PH0025,620.848,348.152,609.0,384.72040000000004,445.2796,298.6801,539.8079,511.512,229.99009999999998,348.5881,614.4218,311.4092,447.5908,424.4916,319.2326,664.1779,249.51760000000002,406.1223,621.2612,424.1048,251.092,523.374,457.3322,396.0392,650.6019,310.6062,480.0465,316.71840000000003,533.2816,73.44550000000001
PH0026,718.7677,485.14300000000003,145.8345,142.9216,160.9445,127.577,152.01069999999999,154.7259,107.1572,155.5559,691.2727,594.5649999999999,629.1086,334.1638,153.1217,127.21589999999999,138.2641,147.1537,149.6596,139.76749999999998,133.5258,115.568,742.0,546.7378,227.9519,414.9538,159.1051,146.32410000000002,144.4116,42.9376
PH0027,119.133,125.05869999999999,96.0113,106.2836,127.4118,110.9798,133.8944,112.50150000000001,105.1502,113.0176,108.4922,114.471,114.6129,99.6827,119.292,112.96509999999999,118.6591,133.1671,140.4491,98.8827,133.1435,120.0607,104.6709,116.2942,121.59570000000001,103.487,103.0247,124.3725,120.9071,41.2033
PH0028,280.7015,267.4874,285.1809,247.58169999999998,231.4389,197.6728,197.6226,222.5243,257.478,282.2813,285.3592,241.2119,226.7165,182.0936,311.6494,261.0,216.2178,243.3486,254.40540000000001,251.1107,237.0212,281.4662,273.2028,275.9272,296.4298,257.5941,252.12120000000002,222.0081,257.23789999999997,74.5399
PH0029,293.3149,193.1399,154.5371,165.5331,291.0255,189.0084,252.3243,237.9596,249.0175,162.6467,192.941,174.3606,238.202,170.8579,199.9523,117.5389,262.3586,178.71710000000002,216.6403,219.3639,160.94740000000002,219.22990000000001,283.3972,279.4285,230.3841,180.1266,188.7086,219.3889,250.9488,26.861299999999996
PH0030,497.9754,287.0246,192.5883,236.8811,160.5306,205.6969,270.9759,212.3272,208.4098,484.5902,357.7392,264.651,534.8702,215.611,215.884,182.6525,146.4917,244.4846,254.2919,207.166,183.825,405.8018,568.5276,267.7512,504.2317,385.4225,244.62449999999998,159.9736,188.7416,68.943
PH0031,856.5568,840.4431999999999,99.0628,125.2548,136.5782,135.4767,146.4252,166.8023,131.8125,126.8807,644.9892,443.1128,715.0298,391.5895,153.9237,146.9007,135.9111,141.5211,134.7594,121.2507,135.6331,113.3215,495.33930000000004,560.0,544.0,628.2298,87.5757,120.8267,120.3682,39.9395
PH0032,223.6864,253.7257,216.8073,132.143,203.5074,241.7624,162.4833,241.7688,155.2606,209.31459999999998,156.1693,221.574,137.5689,194.7325,186.24,255.208,128.58689999999999,220.4609,295.0,259.4535,172.10229999999999,179.6235,164.0744,250.4256,255.5867,181.1083,164.53379999999999,311.4066,211.6431,50.4821
PH0033,123.3257,138.6826,116.2855,125.2065,121.7348,114.037,100.7059,112.5518,123.4879,113.096,124.375,124.3628,128.8786,106.4153,147.8852,107.1957,130.7558,123.6473,115.8942,116.6627,118.5147,129.1228,79.2133,163.335,101.9868,96.7999,165.4207,114.3793,147.9115,47.098600000000005
PH0034,567.7696,527.5173,356.7131,392.0,360.0,426.4719,270.5281,308.0,340.731,486.3967,417.23199999999997,456.8944,429.62940000000003,333.1165,346.0,334.0,406.0,296.0,458.4517,333.5483,434.0,377.0,368.4645,411.073,413.4625,326.0,356.0,298.0,308.0,118.3582
PH0035,111.71,119.6238,106.2462,112.4176,135.399,105.7533,135.6448,122.8109,118.3131,138.1045,127.86240000000001,150.7841,122.2793,136.0413,113.9771,111.5651,120.2285,107.7637,106.993,114.919,118.3758,111.7542,124.1579,129.7404,144.2708,115.4392,121.0565,114.0292,117.9014,55.61
PH0036,609.9636,623.2562,271.1293,405.6509,419.0,418.0,577.0957999999999,542.9042,352.0,448.5943,513.489,431.9167,448.4552,245.4384,595.1064,423.284,379.716,308.0,385.2521,410.0615,464.7618,579.7089,457.6033,385.6124,467.65749999999997,462.8003,411.2797,410.3102,455.5065,210.2952
PH0037,213.9865,253.5637,180.4812,243.95829999999998,204.2918,228.35229999999999,220.79520000000002,184.089,151.1057,180.19060000000002,272.3183,118.7541,146.9494,188.54,299.4804,193.3609,214.06380000000001,234.0946,173.61180000000002,119.41890000000001,290.4328,207.3829,189.9369,241.6261,222.7271,245.0609,173.2939,185.1199,158.1819,98.7036
PH0038,533.1215,416.5159,470.0217,473.34090000000003,348.3779,441.0943,484.5907,217.4794,454.4577,428.88870000000003,466.8458,240.305,303.7028,526.5606,362.686,308.2753,544.1159,333.2036,440.3353,485.3946,382.4927,277.7601,508.4336,426.0,505.0,367.8968,419.5924,311.183,492.1262,67.8856
PH0039,311.0492,263.662,289.2591,263.913,276.797,244.8751,201.6726,220.772,278.0,233.8542,269.7098,291.436,265.9035,242.23930000000001,184.0739,252.7833,253.659,258.2658,301.6806,311.4722,190.3047,206.6177,218.2119,310.8388,203.9493,240.7815,201.1042,189.1143,251.0,46.9929
PH0040,472.5015,553.3812,202.285,227.5052,235.87290000000002,250.9954,232.6154,224.6468,186.0001,342.0,350.07529999999997,448.7366,319.1845,374.619,208.7171,208.5943,249.3532,241.1374,203.4114,221.3437,244.4072,365.4203,346.0964,296.8496,297.4176,425.9818,227.55270000000002,167.1019,220.1331,65.7667
PH0041,649.6360999999999,499.3453,603.6772,313.4183,583.9231,558.9472,597.7558,297.7011,522.5959,601.6457,569.1518,423.2025,451.4626,455.8811,565.8418,593.5712,277.6004,599.1354,354.1823,463.0638,553.1821,359.9576,443.1217,491.3172,494.1418,255.69150000000002,529.8495,471.6606,589.581,147.9361
PH0042,288.9618,226.5675,325.3845,270.7218,324.7686,181.7192,287.5786,269.298,233.948,266.3668,251.0398,256.4389,305.8192,237.2348,188.9364,288.8723,230.3374,118.3944,259.612,272.8363,172.7721,251.7954,255.5962,232.5831,248.6651,215.7518,236.75889999999998,295.5172,290.1006,106.5988
PH0043,726.9586,562.6065,506.0839,514.351,485.0,357.8771,511.693,472.4624,410.9675,527.8072,509.1928,388.9102,386.4476,418.9105,494.7317,457.0,390.69259999999997,404.5238,313.2392,609.5444,344.562,332.438,446.0,486.808,290.4141,458.1964,411.3671,280.1437,421.225,252.28699999999998
PH0044,92.0905,112.8791,93.799,112.2252,123.5299,108.932,133.6687,116.6082,130.1101,116.6482,128.5204,113.4603,115.2513,129.8646,114.3405,125.83239999999999,115.3265,108.5476,99.7079,108.5746,93.6636,120.7533,137.7433,129.6118,131.311,100.1328,104.9222,131.1538,112.1982,36.3867
PH0045,129.2494,120.2445,123.5044,125.3719,100.6765,118.7058,111.98310000000001,139.0732,109.8658,129.7498,107.1564,124.6846,111.5503,102.6449,117.913,124.80799999999999,106.5034,113.524,113.25319999999999,122.7937,131.2666,144.19050000000001,128.2208,111.2165,127.0912,110.4121,112.5409,100.2119,113.5488,26.0292
PH0046,618.3406,567.0799,539.7742,333.0349,390.7704,511.0519,314.9162,562.5518,434.6726,409.7441,500.365,515.1678,360.50669999999997,548.0239,292.3448,519.6552,539.1644,483.8199,429.0157,440.35699999999997,329.05150000000003,458.5915,414.0399,474.7359,571.9873,492.0356,424.2013,386.9539,417.4824,183.9657
PH0047,545.1969,415.4216,410.3815,350.2001,339.4775,508.3224,301.5,275.5,546.4757999999999,468.433,448.5734,352.2023,418.0734,561.0648,243.7836,500.8797,561.7272,399.7868,512.0,378.012,457.19780000000003,579.9134,427.8768,462.2872,447.6856,425.4962,421.1261,394.4049,535.2659,192.2616
PH0048,285.4919,262.5315,225.56900000000002,273.7892,298.7835,229.11599999999999,277.6086,281.1853,244.2013,307.6456,268.6336,244.4047,279.4321,255.7735,270.6628,294.6227,313.21999999999997,311.135,215.1988,280.1601,280.1402,296.5195,260.5697,255.06,260.7639,232.556,248.0438,277.761,248.6374,106.3905
PH0049,473.6377,396.3623,298.4252,425.5748,385.0,278.0,449.0,392.0,406.6382,299.2709,379.0909,520.0,583.7837,331.2163,440.0086,287.9914,492.0,302.7468,382.2532,358.5194,333.4806,281.0,473.1773,246.1264,249.6963,286.4077,394.377,459.2153,387.5818,224.4318
PH0050,657.6888,526.0359,406.2753,541.5715,475.95120000000003,400.4773,571.0,294.5277,463.3854,509.928,597.3022,546.0127,305.3694,462.4746,485.1556,320.4747,602.3697,379.9758,609.8605,488.2545,268.9092,605.2968,287.3891,528.0561,434.0531,343.2049,460.8553,407.5123,496.6324,216.7131
PH0051,127.0009,120.6947,113.9252,134.3156,133.2058,108.69409999999999,119.1832,119.7931,108.6117,124.9096,120.449,128.336,96.0253,96.4867,106.2034,92.1032,99.8704,124.6799,136.4638,125.1413,101.4593,114.5789,122.6128,93.386,112.5894,115.7843,130.6517,96.1993,127.9974,35.7223
PH0052,109.0866,94.9441,107.9484,116.57469999999999,128.5644,118.0149,120.2516,118.2277,100.1957,132.821,133.0178,126.1885,98.0995,94.2114,107.2249,119.7098,114.0395,116.2457,107.5402,92.6455,112.2954,114.7365,134.8563,135.1612,121.0311,108.042,150.8615,128.6812,113.7118,51.8998
PH0053,161.4206,185.0966,262.3166,172.7546,230.6193,214.0327,171.9751,280.3444,201.4401,266.3716,160.6284,159.5991,269.0453,162.3556,168.195,276.146,148.5023,231.1851,166.361,168.3247,240.98340000000002,182.2399,199.21,192.8892,160.2817,90.9361,278.3787,246.7692,219.17770000000002,72.6775
PH0054,116.8699,116.8694,94.1463,110.357,99.5204,105.6279,128.213,107.0497,116.9729,123.3227,126.36789999999999,114.2074,112.5833,97.4285,119.45259999999999,82.8351,117.0759,131.5736,127.4695,127.9223,119.0531,111.5524,88.66720000000001,117.5241,115.1319,90.5574,147.6139,121.7096,136.9958,39.387
PH0055,227.6918,199.8453,191.6497,162.7808,225.74190000000002,389.2905,471.0,477.821,125.2985,179.55610000000001,204.8691,197.9347,189.8077,199.1112,220.3976,209.2263,140.4073,464.3915,517.5856,266.9333,154.3992,182.053,214.4797,198.7353,185.2765,156.1937,165.3202,191.9516,196.8918,63.528299999999994
PH0056,190.73409999999998,187.43959999999998,156.4025,196.7785,239.08599999999998,192.53549999999998,217.2776,187.4957,129.75119999999998,193.1714,266.9847,235.883,116.4534,220.8195,267.1856,198.9214,251.24960000000002,189.2869,94.71520000000001,241.94129999999998,119.07589999999999,189.4745,225.2665,296.4258,188.7173,215.1556,168.7276,148.3201,182.1643,77.1253
PH0057,641.2661,550.7339,468.0,250.3163,389.4894,406.8136,457.5262,410.3254,444.0403,601.7206,465.7088,410.4877,402.0944,354.4773,392.0,365.0,605.8215,374.6322,447.0908,313.8448,304.0836,435.048,256.968,540.888,268.1975,410.077,271.6438,397.2521,435.7793,161.5615
PH0058,126.22789999999999,129.5437,126.5436,135.4314,112.333,117.5035,139.3241,121.9915,117.7014,112.7018,106.2448,120.7802,126.1759,90.2559,125.5437,119.7556,127.6115,123.5601,126.0051,124.0764,142.5724,158.7592,103.8321,114.5923,107.1928,107.1446,105.3774,129.0376,107.1627,54.2716
PH0059,616.7668,518.3129,600.9404,559.5338,313.7529,502.6932,387.1409,427.8591,431.8472,364.1528,547.3938,570.3835,555.2227,256.2519,513.7481,366.46500000000003,446.535,397.1475,214.8525,640.0895,259.4796,591.1534,478.055,555.8602,586.6967,254.1461,498.6932,275.053,472.7733,113.26859999999999
PH0060,120.6817,101.3957,108.11019999999999,137.387,108.9118,111.22279999999999,116.2474,123.9268,123.7066,122.9708,126.0183,108.19500000000001,126.1251,128.4386,102.2984,113.2978,136.3125,109.9517,121.5678,103.5206,120.3273,118.9803,122.9675,122.32509999999999,137.8698,126.8363,115.6528,109.3432,103.3747,48.370000000000005
PH0061,692.0286,528.1315,104.2928,140.8595,137.4148,161.1858,145.5702,143.6562,100.2582,111.7506,624.0205,651.9011,636.5969,482.6897,138.6004,114.044,133.2218,130.7093,162.6584,140.2645,143.5396,123.9676,406.383,544.653,500.4413,543.0,97.6369,142.78379999999999,133.802,51.398
PH0062,338.0349,254.41479999999999,282.6555,260.65250000000003,289.8186,237.2299,222.433,235.1576,165.1918,192.706,268.3049,178.4005,206.764,136.0069,150.2291,279.1407,169.8593,248.8711,262.1289,213.5661,245.1829,238.93189999999998,208.8256,225.49349999999998,205.0,160.917,197.3105,224.7725,203.0009,10.9991
PH0063,121.9166,128.8553,132.0543,106.556,115.8799,107.72109999999999,113.9499,89.7499,94.9204,113.9567,125.152,138.9481,111.1691,106.8304,113.71900000000001,118.2753,118.9801,111.32939999999999,134.2545,121.0689,113.29860000000001,143.0616,113.8292,114.2418,140.0091,115.0491,113.2672,146.3792,129.9773,40.8917
PH0064,290.2133,233.95499999999998,168.9723,262.9242,193.9093,234.4673,282.6016,74.96979999999999,158.053,213.0856,223.8486,155.0314,207.9686,153.2571,224.4485,223.478,123.5562,264.3659,225.895,322.9926,207.9043,195.2187,145.4663,163.7916,290.5568,219.51319999999998,184.0974,254.5461,200.46359999999999,63.6731
PH0065,191.6022,191.1501,115.7743,206.8789,240.6593,166.3634,191.71970000000002,219.37439999999998,242.0678,211.2346,237.6077,161.64780000000002,242.3,214.441,230.4697,263.3314,224.655,103.39620000000001,235.8223,257.8879,137.5951,216.06539999999998,140.3758,157.3284,173.5648,276.6522,132.8567,226.732,158.9798,87.6876
PH0066,140.81470000000002,227.2349,205.4689,264.2659,205.0836,134.6734,221.0026,173.456,143.6481,283.2887,189.8795,181.8182,180.3655,111.2113,209.0536,196.0074,161.716,224.3288,215.8976,168.2338,185.5953,221.6363,212.1697,276.1502,169.07750000000001,167.0048,179.0703,214.8474,189.90879999999999,110.0743
PH0067,270.051,213.652,286.5415,233.60490000000001,180.976,170.8476,167.6393,195.0812,218.0069,179.2811,246.0965,195.3332,248.9382,228.4916,234.8331,218.7057,216.9202,141.2185,173.1474,202.6527,143.547,186.4129,192.9505,214.9077,201.55180000000001,159.6115,171.4384,192.7698,208.2205,61.869
PH0068,624.0,368.6324,496.0577,519.6607,316.4517,323.1975,524.0,607.2878000000001,314.7122,380.4228,388.6418,289.7734,415.77049999999997,450.3915,431.2854,308.0795,405.1342,407.8585,503.0479,463.5945,433.5234,451.4766,409.54900000000004,428.7332,443.535,432.1828,418.4746,457.7908,413.66949999999997,178.4956
PH0069,269.5035,229.3563,224.1402,240.1612,283.06419999999997,200.7746,256.8423,216.6685,248.3494,343.1061,267.9889,284.1388,291.906,149.6048,255.4057,277.2827,230.8829,215.8239,313.2502,172.22,279.2517,254.104,216.86169999999998,338.3095,287.9347,246.0682,164.8907,249.0961,267.4713,76.5201
PH0070,127.7807,144.4,101.54729999999999,118.54610000000001,136.2312,118.5504,128.76069999999999,124.0519,112.5867,127.2822,128.8945,140.5185,129.96529999999998,109.7525,114.9135,144.0225,121.7391,115.7456,113.9179,112.6309,127.3722,112.53,139.6736,128.6459,125.5762,132.5125,117.8931,120.6835,111.0591,39.236
PH0071,179.9329,245.6674,200.2388,249.1609,216.8374,169.1387,223.2974,186.1451,158.1005,278.47339999999997,161.1881,217.034,184.8016,211.9198,246.765,212.8454,165.773,186.3109,211.0144,155.3014,215.7662,166.865,223.7011,207.8998,225.3803,213.8468,196.72750000000002,154.3595,274.4739,29.021700000000003
PH0072,126.2622,108.3279,127.8152,122.6472,99.1576,106.476,105.8428,115.9713,106.4805,121.3924,115.4881,130.5842,122.3773,96.4292,115.6289,127.0016,130.30180000000001,118.5236,128.4728,122.9787,121.5699,140.6634,80.5688,120.98870000000001,133.0302,117.8707,120.9882,123.4854,95.7576,44.1006
PH0073,603.0,565.5729,215.6482,496.53069999999997,486.2482,421.53159999999997,311.6462,592.8951,348.0896,380.2335,465.604,421.1737,326.8263,447.6778,469.4029,482.8842,467.9003,206.0146,624.725,169.8416,513.4564,281.68739999999997,442.2441,498.0318,424.0784,374.0555,582.0431,352.266,542.2145,211.31810000000002
PH0074,601.8685,422.6308,496.2966,558.4153,344.91429999999997,486.3449,487.0347,473.7062,398.7887,389.0,307.0,457.6716,552.1656,330.0121,548.0167,425.134,383.0,410.0,342.0,511.2914,552.7972,493.9114,354.1092,372.4705,548.1404,424.69,326.5899,358.0,311.0,145.2028
PH0075,127.6676,103.6238,121.462,122.7967,125.2509,137.416,115.8019,124.6721,135.643,139.8002,118.5469,119.53020000000001,144.8908,111.6458,147.81459999999998,114.5135,123.1107,98.5168,92.5662,106.0593,115.6093,122.3561,124.4722,123.0686,116.927,105.4524,129.6551,113.0455,142.9384,35.2493
PH0076,240.6494,175.86440000000002,129.7644,286.4347,201.4309,235.1034,273.8146,108.7782,195.7722,199.6176,153.937,230.6335,197.9095,232.2902,244.1551,181.5171,180.8914,192.1813,251.1382,234.0123,205.0146,206.1177,184.6688,124.2536,216.5971,166.1189,248.6384,160.6955,198.7337,39.9982
PH0077,612.5204,328.2251,550.2545,403.5709,461.0344,457.3947,454.5728,361.6193,483.3263,336.6162,550.8654,425.194,491.965,536.3989,330.4714,550.9401,239.86769999999999,452.1629,420.09,243.5197,430.3903,506.4076,385.5293,490.0631,408.2174,402.7582,545.6193,484.5399,371.8652,37.7905
PH0078,255.8378,132.6133,193.0509,132.333,213.7834,115.38159999999999,164.2685,208.73399999999998,247.0539,207.1293,163.57569999999998,192.8773,226.2362,95.441,177.1247,191.8108,170.9611,181.4954,212.5019,163.92000000000002,222.8702,206.1002,215.7541,176.4182,241.0362,122.7167,183.7497,154.4731,169.94549999999998,89.642
PH0079,223.2766,151.4287,158.6714,181.9112,236.6025,182.3998,185.1248,179.4784,200.3986,193.2328,242.6954,255.7858,272.247,185.4613,188.1165,202.0461,173.0028,170.4379,189.4872,193.257,168.2332,192.5118,306.7572,170.3574,256.9274,210.9768,217.1053,284.5421,201.9848,62.759
PH0080,214.101,190.0794,173.841,228.92,205.3079,137.407,267.2438,207.0959,286.6365,219.8496,149.9509,263.3381,208.2091,181.9767,174.817,170.8596,266.6897,174.4572,266.9612,172.7441,194.6832,267.4934,171.3603,242.49779999999998,194.7766,246.669,194.4667,175.9917,215.1689,122.1046
PH0081,138.5524,111.6708,104.8806,136.0198,118.7879,90.8506,158.1002,129.9299,106.4289,137.2079,131.5575,128.597,108.9179,111.4257,125.3368,127.47710000000001,112.6856,104.4807,118.5974,113.3387,116.3527,85.8236,117.7629,115.0515,122.1921,101.7643,80.1596,96.7252,123.7231,28.7848
PH0082,623.8164,518.1836,435.0,303.8297,281.8413,382.329,411.7999,425.3628,233.9,517.167,471.7703,329.2097,467.9832,338.6523,420.1548,490.0215,339.0006,303.1645,548.5384,463.7022,368.1722,371.4006,442.0482,509.6401,483.1951,452.9433,328.1733,548.9455,247.5179,172.6556
PH0083,230.5714,176.3375,165.6907,170.782,199.1976,159.9685,234.8218,193.11419999999998,192.1077,264.0597,269.7183,207.0779,206.9267,207.4538,205.8718,214.94060000000002,269.8315,153.4745,217.1706,97.7691,120.8445,282.4042,198.5317,152.102,132.9731,226.8585,243.004,235.7706,251.0048,131.5084
PH0084,126.8469,108.7425,123.4195,151.4503,114.80839999999999,114.9499,98.8191,136.1616,121.2038,122.9842,129.5174,149.9962,133.4422,121.1988,112.4971,122.36919999999999,104.8655,121.1,120.6856,117.2639,122.0086,122.2461,102.2784,109.687,122.0786,126.4613,127.5288,136.8338,105.9165,40.193999999999996
PH0085,704.42,437.1385,516.1401,490.3199,508.2588,404.1663,413.7364,592.7286,282.7286,558.3628,588.4536,573.6078,462.9386,462.33820000000003,359.9852,476.9271,394.9531,589.3017,528.5064,554.8232,430.4072,583.3067,474.4512,531.5536,386.0839,561.6815,389.5538,530.1272,537.3977,177.9793
