AR_Ref,AR_Design,TotalSortie,TotalEntree,ValeurSortie,NbJoursSortie,MoyenneSortie
PH0004,Doxycycline 100mg,12632.8987,12913.0,2594739.511433,600,21.054831166666666
PH0068,Empagliflozine 10mg,12605.4305,12675.0,451009.036121,607,20.76677182866557
PH0107,Dextrométhorphane Sirop,12585.2095,12647.0,2893136.386264,579,21.73611312607945
PH0135,Siméthicone 80mg,12489.0,12489.0,3561577.475918,595,20.989915966386555
PH0018,Sitagliptine 100mg,12257.5346,12638.0,4842156.997317,592,20.705294932432434
PH0057,Néfopam 20mg,12232.8881,12254.0,1507362.921699,572,21.386168006993007
PH0082,Dompéridone 10mg,12230.119,12306.0,3339096.478227,588,20.79952210884354
PH0038,Sertraline 50mg,12037.684,12442.0,1512590.318267,582,20.683305841924398
PH0097,Acide Folique 5mg,11374.3121,11612.0,4950052.252637,557,20.42066804308797
PH0034,Métoclopramide 10mg,11257.3582,11473.0,2641491.898903,549,20.505206193078326
PH0049,Oméga 3 1000mg,11217.0136,11250.0,418564.469288,563,19.92364760213144
PH0001,Amoxicilline 500mg,11085.2694,11257.0,3288367.673854,533,20.797878799249528
PH0128,Béclométhasone Spray,10924.1714,11063.0,1745101.484692,524,20.847655343511448
PH0021,Bétaméthasone Crème,10456.8506,10564.0,1372759.012996,530,19.72990679245283
PH0094,Aciclovir Pommade Ophtal.,10003.0,10003.0,4341323.503426,490,20.414285714285715
PH0003,Azithromycine 250mg,9723.9194,9828.0,3088598.288801,480,20.258165416666667
PH0090,Valproate 500mg,9168.8337,9589.0,2827948.058723,730,12.56004616438356
PH0031,Oméprazole 20mg,8820.7101,9076.0,1087197.385018,691,12.765137626628075
PH0141,Brimonidine Collyre,8688.5017,8750.0,3620654.856401,711,12.220114908579466
PH0061,Digoxine 0.25mg,8558.6207,8864.0,3584857.778037,711,12.037441209563994
PH0040,Amitriptyline 25mg,8439.8998,8565.0,1414502.863307,697,12.108894978479196
PH0026,Salbutamol Spray,8359.4219,8447.0,3201152.577794,691,12.097571490593342
PH0030,Ipratropium Spray,8358.6846,8906.0,1817842.240985,701,11.923943794579174
PH0130,Glycopyrronium Inhal.,8307.7698,8852.0,3716624.691892,697,11.919325394548062
PH0151,Vancomycine 500mg Inj.,8298.8203,8720.0,406304.902975,688,12.062238808139535
PH0010,Kétoprofène 100mg,8210.1759,8579.0,891965.281792,671,12.235731594634874
PH0101,Nitrofurantoïne 100mg,8203.1304,8498.0,3068371.264245,682,12.028050439882698
PH0106,Codéine Sirop,8120.1741,8490.0,2503757.404594,690,11.768368260869565
PH0009,Tramadol 50mg,8114.5079,8564.0,1620572.5394910001,766,10.593352349869452
PH0131,Lansoprazole 30mg,8055.0277,8236.0,508511.004623,680,11.845628970588235
PH0012,Bisoprolol 5mg,7983.1224,8218.0,3078664.934377,757,10.545736327608983
PH0099,Zinc Sulfate 15mg,7934.8639,7966.0,3080658.276031,764,10.385947513089006
PH0048,Vitamine B12 1mg,7885.6072,7993.0,3396657.69046,765,10.307983267973857
PH0134,Bismuth Sous-Sal.,7769.3449,8210.0,2592906.00178,759,10.236291040843215
PH0017,Gliclazide 80mg,7760.4788,7877.0,2382062.736309,756,10.265183597883597
PH0007,Ibuprofène 400mg,7725.3364,8078.0,1651974.242038,751,10.286732889480692
PH0108,Guaïfénésine Sirop,7675.2921,8026.0,2238609.007486,737,10.414236227951152
PH0015,Atorvastatine 20mg,7616.1843,8037.0,2250018.953114,720,10.57803375
PH0147,Coenzyme Q10 100mg,7554.039,7557.0,2888606.094277,721,10.477169209431345
PH0115,Nébivolol 5mg,7528.8065,7537.0,526403.190592,736,10.229356657608696
PH0148,Probiotiques Multi,7523.7636,7635.0,805472.838746,719,10.46420528511822
PH0019,Insuline Rapide 100UI,7442.766,7990.0,1020947.964765,694,10.724446685878961
PH0132,Cimétidine 400mg,7437.0862,7610.0,2018961.458588,738,10.077352574525746
PH0042,Timolol Collyre 0.5%,7390.9755000000005,7480.0,2946560.795494,708,10.43923093220339
PH0028,Montélukast 10mg,7370.6309,7505.0,2964770.356841,710,10.38117028169014
PH0096,Fer Fumarate 200mg,7353.1767,7651.0,1853210.6727160001,668,11.007749550898204
PH0069,Liraglutide Stylo,7350.9782,7723.0,1420305.197849,716,10.266729329608937
PH0104,Triméthoprime 200mg,7329.0081,7602.0,590887.633077,699,10.484990128755365
PH0039,Fluoxétine 20mg,7273.9929,7517.0,2465430.262128,697,10.436144763271162
PH0055,Clindamycine 300mg,7249.0,7249.0,1104530.790485,693,10.46031746031746
PH0121,Rétinoïde Gel 0.025%,7225.2266,7587.0,161315.908227,658,10.980587537993921
PH0139,Hydroxyzine 25mg,7193.0458,7706.0,1449522.003083,696,10.334835919540229
PH0014,Losartan 50mg,7165.1371,7266.0,340617.585977,704,10.1777515625
PH0091,Dexaméthasone Collyre,6722.3345,6812.0,678395.109872,630,10.670372222222221
PH0023,Terbinafine Crème,6668.3034,6824.0,1463690.986275,645,10.33845488372093
PH0133,Sucralfate 1g Sachet,6652.3159,7037.0,407625.490816,516,12.89208507751938
PH0146,Biotine 5mg,6557.9309,7145.0,1731100.261279,515,12.733846407766992
PH0062,Furosémide 40mg,6512.0,6512.0,1563331.961669,650,10.018461538461539
PH0105,Norfloxacine 400mg,6506.0683,6732.0,696971.572575,672,9.681649255952381
PH0129,Indacatérol Inhal.,6333.3982,6872.0,1068051.723766,508,12.467319291338582
PH0111,Propranolol 40mg,6268.4303,6428.0,1582693.51699,513,12.219162378167642
PH0142,Brinzolamide Collyre,6200.1912,6316.0,1197988.647474,508,12.205100787401575
PH0029,Tiotropium Inhal.,6198.8609,6745.0,1852632.289634,503,12.323779125248508
PH0093,Prednisolone Collyre,6193.6887,6701.0,1905434.003516,518,11.956927992277992
PH0080,Acétylcystéine 600mg,6185.6979,6422.0,1261441.684662,516,11.987786627906978
PH0064,Warfarine 5mg,6163.2244,6425.0,2651401.533997,494,12.476162753036437
PH0137,Zolpidem 10mg,6136.5239,6348.0,195975.954818,516,11.892488178294574
PH0125,Hydrocortisone 1% Crème,6090.0821,6333.0,616056.242905,500,12.1801642
PH0079,Roflumilast 500mcg,6037.2168,6608.0,2588094.818244,507,11.907725443786983
PH0032,Pantoprazole 40mg,6036.4399,6264.0,1236881.36675,508,11.882755708661417
PH0037,Alprazolam 0.25mg,6033.8725,6419.0,1119350.291147,493,12.23909229208925
PH0083,Trimébutine 100mg,6011.8877,6180.0,224125.931183,511,11.764946575342465
PH0071,Acide Fusidique Crème,5967.9879,6055.0,1267085.069555,464,12.862042887931034
PH0087,Lévétiracétam 500mg,5966.4604,6399.0,2365128.294595,488,12.226353278688524
PH0067,Acarbose 50mg,5955.2977,6252.0,1209549.759691,479,12.432771816283925
PH0053,Céfixime 200mg,5940.2575,6166.0,1463933.25291,499,11.90432364729459
PH0118,Tolbutamide 500mg,5915.2976,5979.0,338055.692745,480,12.323536666666666
PH0076,Théophylline 200mg,5896.7319,6258.0,1140602.288431,494,11.936704251012145
PH0065,Héparine 5000UI,5856.2215,5909.0,2138801.572436,493,11.878745436105476
PH0056,Codéine Phosphate,5784.5656,6107.0,2385391.934832,473,12.229525581395349
PH0066,Pioglitazone 30mg,5762.9831,5985.0,310614.369738,483,11.931642028985507
PH0144,Timolol+Dorzolamide,5752.529,6397.0,1157976.115206,477,12.05980922431866
PH0006,Paracétamol 1g,5690.6043,5855.0,580488.875967,457,12.45208818380744
PH0078,Formotérol Inhal.,5428.8357,5569.0,972894.908556,444,12.227107432432431
PH0124,Tacrolimus 0.1% Pommade,5193.4296,5280.0,2099232.350623,443,11.723317381489842
PH0070,Saxagliptine 5mg,3627.0196,3704.0,442778.307447,785,4.620407133757962
PH0033,Ranitidine 150mg,3578.9689,3672.0,395672.430941,780,4.588421666666666
PH0145,Bimatoprost Collyre,3575.6427,3930.0,1254449.627648,780,4.5841573076923074
PH0138,Mélatonine 1mg,3571.3495,3693.0,860619.528365,780,4.578653205128205
PH0035,Lopéramide 2mg,3570.7721,3732.0,286099.790943,781,4.572051344430218
PH0084,Mésalazine 400mg,3567.5552,3716.0,1520709.237701,776,4.597364948453608
PH0075,Oxyde de Zinc Pommade,3560.1029,3636.0,1503101.374946,773,4.605566494178525
PH0058,Paracétamol+Codéine,3559.2538,3670.0,74565.974005,781,4.557303201024328
PH0024,Adapalène Gel,3559.0152,3653.0,1152891.27678,784,4.539560204081632
PH0136,Clonazépam 0.5mg,3554.6117,3699.0,1466702.496431,775,4.586595741935484
PH0150,Ginseng Extrait,3538.1237,3926.0,797505.259406,777,4.553569755469756
PH0153,Méropénème 1g Inj.,3535.0932,3699.0,527832.547473,776,4.555532474226804
PH0154,Pipéracilline+Tazobactam,3531.2247,3936.0,79095.801106,777,4.544690733590734
PH0002,Ciprofloxacine 500mg,3526.8998,3746.0,431749.137971,776,4.544973969072165
PH0127,Ciclésonide Spray,3521.4509,4114.0,76895.698006,782,4.503134143222506
PH0119,Chlorpropamide 250mg,3504.3441,3700.0,1209777.763813,784,4.469826658163265
PH0117,Répaglinide 1mg,3502.057,3851.0,373109.740664,775,4.518783225806452
PH0122,Isotrétinoïne 20mg,3495.7333,4225.0,1294217.136967,778,4.493230462724935
PH0063,Spironolactone 25mg,3495.2916999999998,3747.0,801922.173647,769,4.54524278283485
PH0114,Carvédilol 25mg,3490.7127,3571.0,960200.692102,777,4.492551737451738
PH0152,Linézolide 600mg,3489.8337,4136.0,1328271.520881,768,4.544054296875
PH0102,Fosfomycine 3g Sachet,3487.1258,3892.0,200234.270275,790,4.4140832911392405
PH0020,Insuline Lente 100UI,3480.5414,3962.0,618807.01404,773,4.502640879689522
PH0088,Prégabaline 75mg,3476.5629,3891.0,1512152.970538,782,4.445732608695652
PH0060,Nalbuphine 10mg Inj.,3476.3336,3987.0,1015978.969592,770,4.514718961038961
PH0045,Tobramycine Collyre,3457.9844,3618.0,627622.977559,777,4.450430373230373
PH0098,Calcium Carbonate 1g,3455.9109,3868.0,623860.43661,772,4.476568523316062
PH0008,Aspirine 100mg,3450.4021,3683.0,1209172.235264,791,4.36207597977244
PH0120,Vildagliptine 50mg,3450.1881,3607.0,1563235.397991,777,4.440396525096525
PH0072,Mupirocine Pommade,3447.1828,3562.0,469918.47606,784,4.396916836734694
PH0143,Dorzolamide Collyre,3443.3059,3475.0,496970.129359,767,4.489316688396349
PH0126,Salmétérol Inhal.,3432.0223,3687.0,501274.332515,770,4.457171818181818
PH0052,Ceftriaxone 1g Inj.,3426.8287,3580.0,775398.836188,772,4.438897279792746
PH0092,Ofloxacine Collyre,3403.9262,3742.0,444430.13884,774,4.397837467700258
PH0081,Esoméprazole 40mg,3403.1832,3669.0,329977.103364,765,4.448605490196078
PH0022,Clotrimazole Crème,3402.9598,3843.0,1007664.072206,758,4.489392875989446
PH0027,Fluticasone Spray,3398.8754,3663.0,445200.747917,764,4.448789790575916
PH0044,Larmes Artificielles,3397.7937,3442.0,490314.617586,768,4.424210546875
PH0051,Amoxiclav 875mg,3387.0743,3725.0,1211179.958272,765,4.4275481045751635
PH0054,Érythromycine 500mg,3364.0577,3691.0,1431735.1232719999,766,4.391720234986945
PH0109,Bromhexine 8mg,3340.3055,3794.0,43519.788538,774,4.315640180878553
PH0110,Ambroxol 30mg,3318.9691,3503.0,1496018.527166,762,4.35560249343832
PH0149,Spiruline 500mg,3252.6615,3461.0,682870.102054,745,4.365988590604027
